Country,Region,Level of transmission,Week,"''"
Austria,Oberosterreich,Sporadic,2020-W20,-
Austria,Oberosterreich,Clusters,2020-W21,-
Austria,Oberosterreich,Sporadic,2020-W22,-
Austria,Oberosterreich,Clusters,2020-W23,-
Austria,Oberosterreich,Clusters,2020-W24,-
Austria,Oberosterreich,Clusters,2020-W25,-
Austria,Oberosterreich,Community,2020-W26,-
Austria,Oberosterreich,Clusters,2020-W27,-
Austria,Oberosterreich,Community,2020-W28,-
Austria,Oberosterreich,Community,2020-W29,-
Austria,Oberosterreich,Community,2020-W30,-
Austria,Oberosterreich,Community,2020-W31,-
Austria,Oberosterreich,Community,2020-W32,-
Austria,Oberosterreich,Community,2020-W33,-
Austria,Oberosterreich,Community,2020-W34,-
Austria,Oberosterreich,Community,2020-W35,-
Austria,Oberosterreich,Community,2020-W36,-
Austria,Oberosterreich,Community,2020-W37,-
Austria,Oberosterreich,Community,2020-W38,-
Austria,Oberosterreich,Not reported,2020-W39,-
Austria,Salzburg,Not reported,2020-W01,-
Austria,Salzburg,Not reported,2020-W02,-
Austria,Salzburg,Not reported,2020-W03,-
Austria,Salzburg,Not reported,2020-W04,-
Austria,Salzburg,Not reported,2020-W05,-
Austria,Salzburg,Not reported,2020-W06,-
Austria,Salzburg,Not reported,2020-W07,-
Austria,Salzburg,Not reported,2020-W08,-
Austria,Salzburg,Sporadic,2020-W09,-
Austria,Salzburg,Sporadic,2020-W10,-
Austria,Salzburg,Clusters,2020-W11,-
Austria,Salzburg,Community,2020-W12,-
Austria,Salzburg,Community,2020-W13,-
Austria,Salzburg,Clusters,2020-W14,-
Austria,Salzburg,Clusters,2020-W15,-
Austria,Salzburg,Clusters,2020-W16,-
Austria,Salzburg,Clusters,2020-W17,-
Austria,Salzburg,Sporadic,2020-W18,-
Austria,Salzburg,Sporadic,2020-W19,-
Austria,Salzburg,No cases,2020-W20,-
Austria,Salzburg,Sporadic,2020-W21,-
Austria,Salzburg,Sporadic,2020-W22,-
Austria,Salzburg,Sporadic,2020-W23,-
Austria,Salzburg,Sporadic,2020-W24,-
Austria,Salzburg,Clusters,2020-W25,-
Austria,Salzburg,Clusters,2020-W26,-
Austria,Salzburg,Clusters,2020-W27,-
Austria,Salzburg,Clusters,2020-W28,-
Austria,Salzburg,Clusters,2020-W29,-
Austria,Salzburg,Clusters,2020-W30,-
Austria,Salzburg,Clusters,2020-W31,-
Austria,Salzburg,Clusters,2020-W32,-
Austria,Salzburg,Community,2020-W33,-
Austria,Salzburg,Community,2020-W34,-
Austria,Salzburg,Community,2020-W35,-
Austria,Salzburg,Clusters,2020-W36,-
Austria,Salzburg,Community,2020-W37,-
Austria,Salzburg,Community,2020-W38,-
Austria,Salzburg,Not reported,2020-W39,-
Austria,Steiermark,Not reported,2020-W01,-
Austria,Steiermark,Not reported,2020-W02,-
Austria,Steiermark,Not reported,2020-W03,-
